osm_id,name,lat,lon,category,raw_tags
248852574,Cafe Coffee Day,28.5334920,77.1518947,cafe,"{""amenity"": ""cafe"", ""name"": ""Cafe Coffee Day""}"
249221479,South City - I Gate,28.4623384,77.0658862,attraction,"{""barrier"": ""gate"", ""created_by"": ""JOSM"", ""material"": ""metal"", ""name"": ""South City - I Gate"", ""tourism"": ""attraction""}"
266732634,Park Baluchi,28.4684904,77.0644002,restaurant,"{""amenity"": ""restaurant"", ""cuisine"": ""afghan"", ""name"": ""Park Baluchi""}"
266809614,Dandi March Statue (11 Murthi),28.6100877,77.1916453,attraction,"{""historic"": ""monument"", ""name"": ""Dandi March Statue (11 Murthi)"", ""name:hi"": ""दांडी मार्च प्रतिमा (ग्यारह मूर्ति)"", ""tourism"": ""attraction""}"
308887236,Teen Murti Haifa War Memorial,28.6047117,77.1988880,attraction,"{""historic"": ""memorial"", ""memorial"": ""war_memorial"", ""name"": ""Teen Murti Haifa War Memorial"", ""name:en"": ""Teen Murti Haifa War Memorial"", ""reservation"": ""no"", ""tourism"": ""attraction""}"
416361396,Naveidyam,28.4649041,77.0789762,restaurant,"{""amenity"": ""restaurant"", ""check_date"": ""2025-02-23"", ""cuisine"": ""South Indian"", ""name"": ""Naveidyam""}"
416361412,Gurgaon Election Commission,28.4487335,77.0289760,public_building,"{""amenity"": ""public_building"", ""name"": ""Gurgaon Election Commission""}"
416361413,Road and Traffic Authority,28.4485197,77.0285596,public_building,"{""amenity"": ""public_building"", ""name"": ""Road and Traffic Authority""}"
438033023,IFFCO Chowk,28.4771721,77.0682208,attraction,"{""name"": ""IFFCO Chowk"", ""tourism"": ""attraction""}"
438049083,Flavours Restaurant,28.5663466,77.2340571,restaurant,"{""amenity"": ""restaurant"", ""name"": ""Flavours Restaurant""}"
449453229,Nirula's,28.5226640,77.1655706,restaurant,"{""amenity"": ""restaurant"", ""name"": ""Nirula's""}"
477905016,Machaan,28.4996949,77.0961326,pub,"{""amenity"": ""pub"", ""name"": ""Machaan""}"
482664055,Food Court,28.4755165,77.0931248,restaurant,"{""amenity"": ""restaurant"", ""name"": ""Food Court""}"
496457138,Raj Ghat,28.6406036,77.2495084,memorial,"{""historic"": ""memorial"", ""name"": ""Raj Ghat"", ""name:hi"": ""राजघाट"", ""wikidata"": ""Q1210083"", ""wikimedia_commons"": ""Category:Rajghat"", ""wikipedia"": ""en:Raj Ghat and associated memorials""}"
496457140,Veer Bhumi,28.6428362,77.2503474,memorial,"{""historic"": ""memorial"", ""name"": ""Veer Bhumi"", ""name:hi"": ""वीर भूमि""}"
498724141,Shakti Sthal,28.6440626,77.2489572,memorial,"{""historic"": ""memorial"", ""name"": ""Shakti Sthal"", ""name:hi"": ""शक्ति स्थल""}"
515774480,Raj Restaurant,28.4446821,77.0596627,restaurant,"{""amenity"": ""restaurant"", ""cuisine"": ""indian"", ""name"": ""Raj Restaurant""}"
520984742,Haldiram,28.4012573,76.9886452,restaurant,"{""amenity"": ""restaurant"", ""name"": ""Haldiram""}"
544510362,Aggarwal Sweets,28.5342313,77.2145639,restaurant,"{""amenity"": ""restaurant"", ""name"": ""Aggarwal Sweets""}"
544510428,Raju Dhaba,28.5308092,77.2179083,restaurant,"{""amenity"": ""restaurant"", ""name"": ""Raju Dhaba""}"
560417307,Sagar Ratna,28.5369219,77.2118299,restaurant,"{""amenity"": ""restaurant"", ""name"": ""Sagar Ratna""}"
566200829,Kisan Ghat,28.6396205,77.2528300,memorial,"{""historic"": ""memorial"", ""name"": ""Kisan Ghat"", ""name:hi"": ""किसान घाट"", ""wikidata"": ""Q125577728"", ""wikipedia"": ""en:Kisan Ghat""}"
568285976,Berco's Garden,28.5942220,77.3389703,restaurant,"{""amenity"": ""restaurant"", ""cuisine"": ""chinese"", ""name"": ""Berco's Garden"", ""wheelchair"": ""limited""}"
571592734,Central market,28.6368844,77.3760100,restaurant,"{""amenity"": ""restaurant"", ""name"": ""Central market""}"
599901621,Sagarrathna,28.6740388,77.1037651,restaurant,"{""amenity"": ""restaurant"", ""cuisine"": ""south indian"", ""name"": ""Sagarrathna""}"
611105438,MyBar,28.6405551,77.2107627,pub,"{""addr:street"": ""Main Bazaar"", ""amenity"": ""pub"", ""name"": ""MyBar""}"
620495600,NIC,28.5904163,77.2308121,public_building,"{""amenity"": ""public_building"", ""name"": ""NIC""}"
762031785,Aggarwal Restaurant,28.7988933,77.0352522,restaurant,"{""amenity"": ""restaurant"", ""name"": ""Aggarwal Restaurant""}"
765413613,Pizza Hut,28.4218602,77.0909997,restaurant,"{""amenity"": ""restaurant"", ""brand"": ""Pizza Hut"", ""brand:wikidata"": ""Q191615"", ""cuisine"": ""pizza"", ""name"": ""Pizza Hut""}"
